observed,observed_source,station,aqi,band,governing_pollutant,aqi_limit,above_limit
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Wazirpur, Delhi - DPCC",218,Poor,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Dwarka-Sector 8, Delhi - DPCC",190,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Mundka, Delhi - DPCC",155,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"IIT Delhi, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"CRRI Mathura Road, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Rohini, Delhi - DPCC",145,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Sirifort, Delhi - CPCB",140,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Nehru Nagar, Delhi - DPCC",137,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Pusa, Delhi - DPCC",134,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Jahangirpuri, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Vivek Vihar, Delhi - DPCC",130,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Ashok Vihar, Delhi - DPCC",130,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"NSIT Dwarka, Delhi - CPCB",129,Moderately Polluted,OZONE,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Okhla Phase-2, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"R K Puram, Delhi - DPCC",127,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"North Campus, DU, Delhi - IITM",124,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Punjabi Bagh, Delhi - DPCC",123,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Sonia Vihar, Delhi - DPCC",121,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Patparganj, Delhi - DPCC",120,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"IGI Airport (T3), Delhi - IITM",118,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",114,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Sri Aurobindo Marg, Delhi - DPCC",113,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"IMD Lodhi Road, Delhi - IITM",112,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",111,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Narela, Delhi - DPCC",111,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Shadipur, Delhi - CPCB",110,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Commonwealth Sports Complex, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Pusa, Delhi - IITM",108,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Mandir Marg, Delhi - DPCC",107,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"IGNOU_Maidan Garhi, Delhi - DPCC",104,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Bawana, Delhi - DPCC",101,Moderately Polluted,PM10,100,1
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"JNU, Delhi - DPCC",99,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC",98,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Burari Crossing, Delhi - IITM",97,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Talkatora Garden, Delhi - DPCC",95,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"IHBAS, Dilshad Garden, Delhi - CPCB",94,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"NSUT Jaffarpur, Delhi - DPCC",92,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Cantonment Area, Delhi - DPCC",91,Satisfactory,CO,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"DTU, Delhi - CPCB",91,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Chandni Chowk, Delhi - IITM",91,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Najafgarh, Delhi - DPCC",86,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"Aya Nagar, Delhi - IITM",71,Satisfactory,PM10,100,0
2026-08-30T10:00:00+05:30,30-08-2026 10:00:00,"ITO, Delhi - CPCB",63,Satisfactory,NO2,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Anand Vihar, Delhi - DPCC",405,Severe,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Wazirpur, Delhi - DPCC",220,Poor,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Dwarka-Sector 8, Delhi - DPCC",190,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Mundka, Delhi - DPCC",155,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"IIT Delhi, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"CRRI Mathura Road, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Rohini, Delhi - DPCC",145,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Sirifort, Delhi - CPCB",141,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Nehru Nagar, Delhi - DPCC",139,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Jahangirpuri, Delhi - DPCC",134,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Pusa, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Vivek Vihar, Delhi - DPCC",131,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Ashok Vihar, Delhi - DPCC",131,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Okhla Phase-2, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"R K Puram, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"North Campus, DU, Delhi - IITM",124,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Punjabi Bagh, Delhi - DPCC",123,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Sonia Vihar, Delhi - DPCC",121,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Patparganj, Delhi - DPCC",120,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"IGI Airport (T3), Delhi - IITM",118,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"NSIT Dwarka, Delhi - CPCB",117,Moderately Polluted,CO,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Sri Aurobindo Marg, Delhi - DPCC",114,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",114,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"IMD Lodhi Road, Delhi - IITM",113,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Narela, Delhi - DPCC",112,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",111,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Shadipur, Delhi - CPCB",111,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Commonwealth Sports Complex, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Pusa, Delhi - IITM",108,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Mandir Marg, Delhi - DPCC",107,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"IGNOU_Maidan Garhi, Delhi - DPCC",105,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Bawana, Delhi - DPCC",101,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Burari Crossing, Delhi - IITM",101,Moderately Polluted,PM10,100,1
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"JNU, Delhi - DPCC",100,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC",98,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Talkatora Garden, Delhi - DPCC",95,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"IHBAS, Dilshad Garden, Delhi - CPCB",93,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Chandni Chowk, Delhi - IITM",93,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"NSUT Jaffarpur, Delhi - DPCC",92,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"DTU, Delhi - CPCB",91,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Cantonment Area, Delhi - DPCC",89,Satisfactory,CO,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Najafgarh, Delhi - DPCC",86,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"Aya Nagar, Delhi - IITM",72,Satisfactory,PM10,100,0
2026-08-30T11:00:00+05:30,30-08-2026 11:00:00,"ITO, Delhi - CPCB",64,Satisfactory,NO2,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Anand Vihar, Delhi - DPCC",404,Severe,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Wazirpur, Delhi - DPCC",221,Poor,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Dwarka-Sector 8, Delhi - DPCC",190,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Mundka, Delhi - DPCC",156,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"IIT Delhi, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"CRRI Mathura Road, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Rohini, Delhi - DPCC",145,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Sirifort, Delhi - CPCB",141,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Nehru Nagar, Delhi - DPCC",139,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Jahangirpuri, Delhi - DPCC",134,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Pusa, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Ashok Vihar, Delhi - DPCC",132,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Vivek Vihar, Delhi - DPCC",131,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Okhla Phase-2, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"R K Puram, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"North Campus, DU, Delhi - IITM",124,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Punjabi Bagh, Delhi - DPCC",123,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Sonia Vihar, Delhi - DPCC",121,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"NSIT Dwarka, Delhi - CPCB",120,Moderately Polluted,CO,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Patparganj, Delhi - DPCC",120,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"IGI Airport (T3), Delhi - IITM",119,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",115,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Sri Aurobindo Marg, Delhi - DPCC",114,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"IMD Lodhi Road, Delhi - IITM",113,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Narela, Delhi - DPCC",112,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",112,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Shadipur, Delhi - CPCB",111,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Commonwealth Sports Complex, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Pusa, Delhi - IITM",108,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Mandir Marg, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"IGNOU_Maidan Garhi, Delhi - DPCC",105,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Bawana, Delhi - DPCC",102,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Burari Crossing, Delhi - IITM",101,Moderately Polluted,PM10,100,1
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"JNU, Delhi - DPCC",100,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC",98,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Talkatora Garden, Delhi - DPCC",96,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Chandni Chowk, Delhi - IITM",94,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"NSUT Jaffarpur, Delhi - DPCC",93,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"IHBAS, Dilshad Garden, Delhi - CPCB",93,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"DTU, Delhi - CPCB",92,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Cantonment Area, Delhi - DPCC",88,Satisfactory,CO,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Najafgarh, Delhi - DPCC",86,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"Aya Nagar, Delhi - IITM",71,Satisfactory,PM10,100,0
2026-08-30T12:00:00+05:30,30-08-2026 12:00:00,"ITO, Delhi - CPCB",63,Satisfactory,NO2,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Anand Vihar, Delhi - DPCC",407,Severe,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Wazirpur, Delhi - DPCC",219,Poor,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Dwarka-Sector 8, Delhi - DPCC",189,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Mundka, Delhi - DPCC",156,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"CRRI Mathura Road, Delhi - IITM",150,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"IIT Delhi, Delhi - IITM",149,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Rohini, Delhi - DPCC",146,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Sirifort, Delhi - CPCB",142,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Nehru Nagar, Delhi - DPCC",140,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Jahangirpuri, Delhi - DPCC",135,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Pusa, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Vivek Vihar, Delhi - DPCC",132,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Ashok Vihar, Delhi - DPCC",132,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Okhla Phase-2, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"R K Puram, Delhi - DPCC",128,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"NSIT Dwarka, Delhi - CPCB",125,Moderately Polluted,CO,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"North Campus, DU, Delhi - IITM",124,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Punjabi Bagh, Delhi - DPCC",124,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Patparganj, Delhi - DPCC",122,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Sonia Vihar, Delhi - DPCC",121,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"IGI Airport (T3), Delhi - IITM",119,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",116,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Sri Aurobindo Marg, Delhi - DPCC",115,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Narela, Delhi - DPCC",113,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",113,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"IMD Lodhi Road, Delhi - IITM",113,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Shadipur, Delhi - CPCB",113,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Mandir Marg, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Commonwealth Sports Complex, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Pusa, Delhi - IITM",107,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"IGNOU_Maidan Garhi, Delhi - DPCC",106,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Bawana, Delhi - DPCC",102,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Burari Crossing, Delhi - IITM",102,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"JNU, Delhi - DPCC",101,Moderately Polluted,PM10,100,1
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC",99,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Talkatora Garden, Delhi - DPCC",97,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Chandni Chowk, Delhi - IITM",95,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"IHBAS, Dilshad Garden, Delhi - CPCB",94,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"NSUT Jaffarpur, Delhi - DPCC",94,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"DTU, Delhi - CPCB",93,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Cantonment Area, Delhi - DPCC",89,Satisfactory,CO,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Najafgarh, Delhi - DPCC",87,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"Aya Nagar, Delhi - IITM",70,Satisfactory,PM10,100,0
2026-08-30T13:00:00+05:30,30-08-2026 13:00:00,"ITO, Delhi - CPCB",64,Satisfactory,NO2,100,0
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Anand Vihar, Delhi - DPCC",415,Severe,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Wazirpur, Delhi - DPCC",226,Poor,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Dwarka-Sector 8, Delhi - DPCC",191,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Mundka, Delhi - DPCC",157,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"CRRI Mathura Road, Delhi - IITM",151,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"IIT Delhi, Delhi - IITM",150,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Rohini, Delhi - DPCC",146,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Sirifort, Delhi - CPCB",142,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Nehru Nagar, Delhi - DPCC",141,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Jahangirpuri, Delhi - DPCC",135,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Pusa, Delhi - DPCC",134,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Ashok Vihar, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Vivek Vihar, Delhi - DPCC",133,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"R K Puram, Delhi - DPCC",131,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Okhla Phase-2, Delhi - DPCC",129,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"NSIT Dwarka, Delhi - CPCB",129,Moderately Polluted,CO,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Punjabi Bagh, Delhi - DPCC",125,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"North Campus, DU, Delhi - IITM",124,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Patparganj, Delhi - DPCC",123,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Sonia Vihar, Delhi - DPCC",122,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"IGI Airport (T3), Delhi - IITM",119,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC",117,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Sri Aurobindo Marg, Delhi - DPCC",115,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Shadipur, Delhi - CPCB",114,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC",113,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Narela, Delhi - DPCC",113,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"IMD Lodhi Road, Delhi - IITM",113,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Mandir Marg, Delhi - DPCC",109,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Commonwealth Sports Complex, Delhi - DPCC",108,Moderately Polluted,PM10,100,1
2026-08-30T14:00:00+05:30,30-08-2026 14:00:00,"Pusa, Delhi - IITM",107,Moderately Polluted,PM10,100,1
